[2020-03-30 14:31:13,682] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-30 14:32:10,491] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-03-30 14:32:10,493] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-03-30 14:32:10,494] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-03-30 14:32:10,494] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-03-30 14:32:10,784] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-03-30 14:32:10,785] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-03-30 14:32:10,786] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-03-30 14:32:10,786] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-03-30 14:32:11,031] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-03-30 14:32:11,032] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-03-30 14:32:11,033] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-03-30 14:32:11,033] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-03-30 14:32:15,679] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-03-30 14:32:15,681] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-03-30 14:32:15,682] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-03-30 14:32:15,682] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
